comp_bytes	uncomp_bytes	num_apps	path	apps
2463	2463	24	res/zV.9.png	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
2463	5552	2	google/protobuf/any.proto	messages,youpipe
2461	8132	1	res/XG.xml	alchemist
2460	14220	1	res/ex.xml	alchemist
2444	8276	1	res/yW.xml	alchemist
2441	7916	1	res/82.xml	alchemist
2427	7084	1	res/CB.xml	alchemist
2427	8644	1	res/O6.xml	alchemist
2422	9276	1	res/HQ.xml	alchemist
2422	7708	1	res/RM1.xml	alchemist
2419	2419	4	res/8s.png	findfamily,maps,photos,weather
2404	8616	1	res/pE.xml	alchemist
2401	8252	1	res/3z1.xml	alchemist
2401	8684	1	res/Pz.xml	alchemist
2382	7192	1	res/04.xml	alchemist
2382	9320	1	res/te.xml	alchemist
2377	6367	2	google/protobuf/type.proto	camera,photos
2372	6252	1	res/QX.xml	alchemist
2361	6628	1	res/Ze.xml	alchemist
2359	5544	1	res/aK.xml	alchemist
2356	7392	1	res/cC.xml	alchemist
2354	9052	1	res/HO.xml	alchemist
2352	10528	1	res/bI.xml	alchemist
2348	9332	1	res/Lz.xml	alchemist
2346	8616	1	AndroidManifest.xml	pdf
2340	6728	1	res/DH.xml	alchemist
2320	6128	1	res/du.xml	alchemist
2316	7016	1	res/4F.xml	alchemist
2314	8572	1	AndroidManifest.xml	maps
2313	8420	1	res/CQ.xml	alchemist
2311	7732	1	res/iS.xml	alchemist
2305	2305	24	res/1I.9.png	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
2304	6652	1	res/me1.xml	alchemist
2302	9312	1	res/nB1.xml	alchemist
2295	8188	1	res/7h.xml	alchemist
2276	7594	1	org/apache/commons/codec/language/bm/gen_lang.txt	passwords
2263	8360	1	res/q3.xml	alchemist
2256	7580	1	res/8q.xml	alchemist
2236	9036	1	res/F3.xml	alchemist
2230	6672	1	res/RN.xml	alchemist
2224	6760	1	res/Lx.xml	alchemist
2223	5248	1	res/EW.xml	alchemist
2216	6884	1	res/a6.xml	alchemist
2213	58238	1	assets/packs/9x9.json	pipes
2209	6724	1	res/_-.xml	alchemist
2209	6504	1	res/_q1.xml	alchemist
2208	7380	1	res/LP1.xml	alchemist
2200	5772	1	res/IS.xml	alchemist
2200	6800	1	res/sd.xml	alchemist
2194	6336	1	res/hD.xml	alchemist
2193	7808	1	res/Iu.xml	alchemist
2192	5200	1	res/N1.xml	alchemist
2183	7440	1	res/dZ.xml	alchemist
2179	6560	1	res/hW.xml	alchemist
2178	8136	1	AndroidManifest.xml	passwords
2176	20079	1	assets/holidays/Croatia.json	calendar
2171	6184	1	res/ah.xml	alchemist
2170	6864	1	res/PM.xml	alchemist
2163	5164	1	res/qv.xml	alchemist
2163	8168	1	AndroidManifest.xml	office
2162	7776	1	res/bs1.xml	alchemist
2162	7512	1	res/jf.xml	alchemist
