comp_bytes	num_apps	waste_bytes	path	apps
640	22	13440	res/h4.xml	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,pdf,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
636	2	636	res/Hd.xml	contacts,findfamily
633	2	633	res/dL.xml	music,youpipe
632	2	632	com/google/i18n/phonenumbers/data/PhoneNumberMetadataProto_PK	contacts,messages
631	24	14513	res/Pb.png	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
624	24	14352	res/dw.xml	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
624	13	7488	res/yN.xml	alchemist,chess,findfamily,health,messages,notes,openassistant,passwords,photos,pipes,solitaire,unblockjam,wordmaker
623	2	623	res/JD.xml	findfamily,maps
623	2	623	res/JD.xml	music,youpipe
622	2	622	res/JD.xml	calendar,email
622	9	4976	res/JD.xml	alchemist,chess,contacts,health,office,pipes,solitaire,unblockjam,wordmaker
622	2	622	res/JD.xml	notes,openassistant
621	2	621	res/xv.xml	music,youpipe
620	4	1860	res/LI.xml	calendar,email,pdf,weather
619	18	10523	res/LI.xml	alchemist,camera,chess,clock,contacts,findfamily,health,maps,messages,music,notes,office,openassistant,pipes,solitaire,unblockjam,wordmaker,youpipe
619	2	619	res/is.xml	music,youpipe
618	24	14214	res/KH.9.png	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
618	18	10506	res/A5.xml	alchemist,camera,chess,clock,contacts,findfamily,health,maps,messages,music,notes,office,openassistant,pipes,solitaire,unblockjam,wordmaker,youpipe
618	2	618	com/google/i18n/phonenumbers/data/PhoneNumberMetadataProto_TW	contacts,messages
617	4	1851	res/A5.xml	calendar,email,pdf,weather
615	16	9225	res/dS.xml	alchemist,camera,chess,clock,contacts,health,messages,music,notes,office,openassistant,pipes,solitaire,unblockjam,wordmaker,youpipe
614	3	1228	res/dS.xml	calendar,email,pdf
614	2	614	res/hP1.xml	music,youpipe
613	2	613	res/hP1.xml	calendar,email
613	9	4904	res/hP1.xml	alchemist,chess,contacts,health,office,pipes,solitaire,unblockjam,wordmaker
613	2	613	res/hP1.xml	findfamily,maps
613	2	613	res/hP1.xml	notes,openassistant
612	2	612	res/Uf.xml	findfamily,maps
612	2	612	res/Ax.xml	music,youpipe
611	3	1222	res/Uf.xml	calendar,email,pdf
611	2	611	res/dS.xml	findfamily,maps
610	16	9150	res/Uf.xml	alchemist,camera,chess,clock,contacts,health,messages,music,notes,office,openassistant,pipes,solitaire,unblockjam,wordmaker,youpipe
605	2	605	res/2T.xml	music,youpipe
602	2	602	res/NI.xml	music,youpipe
597	2	597	res/Az.xml	music,youpipe
596	2	596	com/google/i18n/phonenumbers/data/PhoneNumberMetadataProto_RU	contacts,messages
596	3	1192	res/nx.xml	openassistant,passwords,photos
595	24	13685	res/49.png	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
595	2	595	com/google/i18n/phonenumbers/data/PhoneNumberMetadataProto_US	contacts,messages
593	24	13639	res/9z.png	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
593	2	593	res/cB.xml	calendar,maps
586	2	586	res/g5.xml	health,openassistant
585	24	13455	res/g-.png	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
582	2	582	res/I31.xml	music,youpipe
578	2	578	res/6d.xml	music,youpipe
578	2	578	res/Vc.xml	music,youpipe
573	2	573	com/google/i18n/phonenumbers/data/PhoneNumberMetadataProto_CL	contacts,messages
567	2	567	res/yG.xml	music,youpipe
